Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats,Gender
Gianluca Vialli,HERO,Italy,Serie A TIM,93,ST,CF,Golazo Hero,Controlled,59000.0,1.67%,4,5,H,M,92.0,94,79,89,48,86,"180cm | 5'11""",Avg & Normal  (77kg),600,488,2333,Male
Iván Córdoba,HERO,Colombia,Serie A TIM,93,CB,0,Golazo Hero,Controlled,495000.0,2.94%,3,4,M,H,90.0,80,70,73,94,91,"173cm | 5'8""",Avg & Normal  (70kg),278,498,2401,Male
Roberto Carlos,EA FC ICONS,Brazil,Icons,93,LB,"LWB,LM",Golazo Icon,Controlled,638000.0,0.47%,5,5,H,H,94.0,86,86,85,88,90,"168cm | 5'6""",Unique  (69kg),209,529,2552,Male
Kaká,EA FC ICONS,Brazil,Icons,93,CAM,"RW,ST,LW",Golazo Icon,Controlled,695000.0,4.14%,5,4,H,M,93.0,89,90,94,49,76,"186cm | 6'1""",Unique  (78kg),626,491,2346,Male
Lev Yashin,EA FC ICONS,Russia,Icons,92,GK,0,Icon,Controlled Lengthy,185000.0,0.54%,1,3,M,M,93.0,89,75,94,60,93,"189cm | 6'2""",Tall & Normal  (82kg),979,504,1242,Male
Ferenc Puskás,EA FC ICONS,Hungary,Icons,92,CF,ST,Icon,Mostly Explosive,275000.0,4.84%,4,3,H,M,90.0,94,89,91,45,74,"172cm | 5'8""",Avg & Stocky  (72kg),1038,483,2353,Male
Mané Garrincha,EA FC ICONS,Brazil,Icons,92,RW,RM,Icon,Explosive,245000.0,6.52%,5,4,M,L,89.0,85,92,94,40,66,"169cm | 5'7""",Short & Normal  (72kg),846,466,2259,Male
Paolo Maldini,EA FC ICONS,Italy,Icons,92,CB,LB,Icon,Mostly Lengthy,405000.0,3.85%,2,4,M,H,85.0,55,74,69,95,82,"186cm | 6'1""",Avg & Normal  (83kg),3154,460,2124,Male
Müller,EA FC ICONS,Germany,Icons,92,ST,CF,Icon,Controlled Explosive,71500.0,2.72%,4,4,H,M,87.0,92,76,85,44,74,"176cm | 5'9""",Avg & Stocky  (74kg),898,458,2241,Male
Charlton,EA FC ICONS,England,Icons,92,CAM,CF,Icon,Explosive,260000.0,3.70%,4,5,H,M,90.0,91,87,91,50,74,0,Avg & Normal  (72kg),4370,483,2360,Male
Victor Osimhen,Napoli FC,Nigeria,Serie A TIM,92,ST,CF,Champions League,Controlled Lengthy,65000.0,0.78%,3,4,H,M,94.0,91,74,88,46,87,"185cm | 6'1""",Tall & Lean  (78kg),1370,480,2244,Male
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,92,ST,"CF,LW",Trailblazers,Mostly Explosive,1920000.0,0.10%,5,4,H,L,98.0,91,81,93,37,79,"182cm | 6'0""",Unique  (75kg),-269,479,2280,Male
Harry Kane,FC Bayern München,England,Bundesliga,92,ST,CF,Trailblazers,Mostly Lengthy,59500.0,7.75%,3,5,H,H,78.0,95,87,86,51,85,"188cm | 6'2""",Unique  (89kg),1289,482,2351,Male
Andrea Pirlo,EA FC ICONS,Italy,Icons,92,CM,CDM,Squad Found. C.L. SB,Mostly Explosive,591050.0,7.75%,5,4,M,M,80.0,83,95,91,71,70,"177cm | 5'10""",Avg & Normal  (68kg),3443,490,2394,Male
Harry Kane,FC Bayern München,England,Bundesliga,92,ST,CF,SIF,Mostly Lengthy,54000.0,1.89%,3,5,H,H,72.0,95,87,86,51,86,"188cm | 6'2""",Unique  (89kg),329,477,2343,Male
Erling Haaland,Manchester City,Norway,Premier League,92,ST,CF,IF,Mostly Lengthy,198000.0,5.32%,3,3,H,M,90.0,94,68,82,46,89,"195cm | 6'5""",Unique  (94kg),545,469,2232,Male
Kevin De Bruyne,Manchester City,Belgium,Premier League,92,CM,CAM,FUT Centurions,Controlled,398000.0,0.50%,4,5,H,M,78.0,90,95,88,66,80,"181cm | 5'11""",Unique  (75kg),854,497,2400,Male
Antunes Coimbra,EA FC ICONS,Brazil,Icons,92,CAM,"CM,CF",Squad Found. C.L.,Mostly Explosive,980000.0,7.69%,5,5,H,M,90.0,93,92,92,65,73,0,Avg & Normal  (71kg),1158,505,2447,Male
Eusébio,EA FC ICONS,Portugal,Icons,92,CF,ST,Squad Found. C.L.,Mostly Explosive,1740000.0,0.57%,4,5,H,M,93.0,93,85,92,46,79,"175cm | 5'9""",Avg & Normal  (76kg),6508,488,2384,Male
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,92,LW,"LM,CF,ST",IF,Mostly Explosive,1940000.0,8.08%,5,4,H,L,98.0,91,81,93,38,80,"182cm | 6'0""",Unique  (75kg),1136,481,2289,Male
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,92,ST,"CF,LW",Ligue 1 POTM SBC,Mostly Explosive,3630000.0,8.08%,5,4,H,L,98.0,91,82,93,38,79,"182cm | 6'0""",Unique  (75kg),-2349,481,2291,Male
Vinícius Júnior,Real Madrid,Brazil,LALIGA EA SPORTS,92,LW,LM,Thunderstruck,Mostly Explosive,1000000.0,11.11%,5,4,H,M,98.0,86,82,93,32,74,"176cm | 5'9""",Avg & Lean  (73kg),922,465,2184,Male
Marcos Cafú,EA FC ICONS,Brazil,Icons,92,RWB,RB,Thunderstruck Icon,Controlled,395000.0,5.61%,4,3,H,M,91.0,58,85,86,89,84,"176cm | 5'9""",Avg & Normal  (75kg),912,493,2328,Male
Neymar Jr,Al Hilal,Brazil,ROSHN Saudi League,92,CAM,"LM,LW",Thunderstruck,Explosive,1180000.0,3.51%,5,5,H,M,89.0,87,89,96,41,66,"175cm | 5'9""",Neymar  (68kg),1282,468,2313,Male
Iker Casillas,EA FC ICONS,Spain,Icons,92,GK,0,Thunderstruck Icon,Controlled,315000.0,5.00%,1,3,M,M,92.0,91,87,95,61,91,"185cm | 6'1""",Avg & Normal  (80kg),1348,517,1274,Male
Lionel Messi,Inter Miami CF,Argentina,MLS,92,CF,"CAM,ST",Radioactive,Explosive,677000.0,0.44%,4,4,L,L,82.0,88,91,95,35,68,"169cm | 5'7""",Messi  (67kg),1088,459,2254,Male
Karim Benzema,Al Ittihad,France,ROSHN Saudi League,92,CF,ST,Radioactive,Controlled Lengthy,165000.0,4.07%,4,4,M,M,83.0,90,85,90,41,81,"185cm | 6'1""",Avg & Normal  (81kg),492,470,2272,Male
Zinedine Zidane,EA FC ICONS,France,Icons,92,CAM,CM,Dynasties ICON,Mostly Lengthy,1660000.0,4.07%,5,5,H,M,85.0,86,90,90,70,87,"185cm | 6'1""",Unique  (77kg),7519,508,2428,Male
